2989,525,上海市2015年市本级政府性基金支出预算数据，包含科目名称、预算数信息。,政府办事,市本级.政府性基金.支出.预算,经济建设,财政,业务类,普遍公开,2015-10-13,2017-10-27,上海市财政局
3439,678,上海市2015年市本级一般公共预算支出预算数据，包含科目名称、预算数信息。,政府办事,市本级.一般公共预算.支出.预算,经济建设,财政,业务类,普遍公开,2015-10-13,2017-10-27,上海市财政局
2822,486,上海市2015年度涉企行政事业性收费项目目录，包含收费项目名称、收费标准、批准文号、批准依据信息。2015年4月30日更新,政府办事,行政事业性收费,经济建设,财政,业务类,普遍公开,2015-10-13,2017-10-27,上海市财政局
3200,565,上海市2015年度行政事业性收费项目目录，包含收费项目名称、收费标准、批准文号、批准依据信息。2015年4月30日更新,政府办事,行政事业性收费,经济建设,财政,业务类,普遍公开,2015-10-13,2017-10-27,上海市财政局
2426,315,主要指上海市绿化和市容行业对倒粪站的管理情况，包括区县与地址。,社区周边生活服务,区县，地址,城市建设,城乡建设,业务类,普遍公开,2015-10-09,2017-10-26,上海市绿化和市容管理局
2208,322,反应上海市绿化和市容行业对化粪池的管理情况，主要包括区县及地址。,政府办事,区县，地址,城市建设,城乡建设,业务类,普遍公开,2015-10-09,2017-10-26,上海市绿化和市容管理局
3232,673,提供的数据为全市隶属于环卫行业管理的公共厕所信息，主要包括：地址、蹲位、名称等。有地理数据。,社区周边生活服务,公共厕所，地址,民生服务,综合类,业务类,特定公开,2015-01-13,2017-10-26,上海市绿化和市容管理局
1905,275,主要指上海市绿化和市容行业对环卫工人作业休息的场所管理，主要包括区县与地址。,政府办事,区县，地址,城市建设,城乡建设,其他类,普遍公开,2015-10-09,2017-10-26,上海市绿化和市容管理局
2344,275,包括登记编号、固定形式印刷品广告名称、发布单位名称、发布单位地址、有效期限等,政府办事,固定形式印刷品，广告，登记证,经济建设,工商,业务类,普遍公开,2015-11-16,2017-10-26,上海市工商行政管理局
3959,621,工商行政管理部门在履行职责过程中产生的行政处罚信息。包括行政处罚决定书文号、行政处罚当事人、基本情况、违法行为类型、行政处罚内容、作出行政处罚决定机关名称、作出行政处罚决定日期、案件名称等,政府办事,工商，行政处罚,信用服务,工商,业务类,普遍公开,2015-11-16,2017-10-26,上海市工商行政管理局
2610,351,包括被抽检人、商品名称、标称商标、型号规格、生产日期/批号、标称生产企业、是否合格、不合格项目等,政府办事,工商，流通领域商品，监测,信用服务,工商,业务类,普遍公开,2015-11-16,2017-10-26,上海市工商行政管理局
3011,527,包括内资企业的企业户数/注册资本、外商投资企业的企业户数/注册资本/投资总额、私营企业的企业户数/注册资本、个体工商户的户数/资金数额、农民专业合作社的户数/出资总额等,政府办事,工商，市场主体，统计,经济建设,工商,业务类,普遍公开,2015-11-16,2017-10-26,上海市工商行政管理局
2589,396,工商行政管理部门对未遵守《企业信息公示暂行条例》相关规定的企业，列入经营异常企业信息。包括企业名称、注册号、法定代表人、载入决定时间、载入事由等。,政府办事,工商，经营异常企业,经济建设,工商,业务类,普遍公开,2015-11-16,2017-10-26,上海市工商行政管理局
170,29,企业从业人员平均薪酬,政府办事,从业人员,经济建设,综合政务类,机构职能,普遍公开,2017-10-25,2017-10-26,上海市国有资产监督管理委员会
4341,1050,年度上海市国有资产统计报告.包括地方国资总量.资产.负债.营业收入。,政府办事,地方国资总量.资产.负债.营业收入,经济建设,经济管理综合类,机构职能,普遍公开,2015-10-21,2017-10-24,上海市国有资产监督管理委员会
4120,769,全市国有资产统计信息，包括项目数、净资产账面值和净资产评估值。,政府办事,评估,经济建设,综合政务类,机构职能,普遍公开,2015-10-21,2017-10-24,上海市国有资产监督管理委员会
8280,5092,市国资委监管单位基本信息，包括单位名称、地址、联系电话等信息,政府办事,单位名称.地址.联系电话,经济建设,综合政务类,机构职能,普遍公开,2015-10-22,2017-10-24,上海市国有资产监督管理委员会
6945,5358,垃圾分类场所，指生活垃圾进行分类的场所。包括：机关、企事业、菜场、学校、公园。,社区周边生活服务,名称，地址，街镇,城市建设,城乡建设与环境保护综合类,业务类,普遍公开,2015-10-30,2017-10-24,上海市绿化和市容管理局
2961,521,上海市审计局受市人民政府委托，向市人大常委会报告关于市本级预算执行和其他财政收支的审计情况。,政府办事,审计 工作报告,经济建设,审计,业务类,普遍公开,2015-10-22,2017-10-23,上海市审计局
2347,375,主要指上海市绿化和市容行业对生活垃圾中转站的管理，主要包括区县与地址。,政府办事,区县，地址,城市建设,城乡建设,业务类,普遍公开,2015-10-09,2017-10-23,上海市绿化和市容管理局
3078,431,主要指上海市绿化和市容行业对生活垃圾无害化处理场的管理，主要包括区县与地址。,政府办事,区县，地址,城市建设,城乡建设,业务类,普遍公开,2015-10-09,2017-10-23,上海市绿化和市容管理局
2903,404,主要指上海市绿化和市容行业对焚烧场的管理，主要包括区县与地址。,政府办事,区县，地址,城市建设,城乡建设,业务类,普遍公开,2015-10-09,2017-10-23,上海市绿化和市容管理局
5338,797,上海市货物贸易进口情况数据产品主要发布了上海市货物贸易当月进口额、当月进口同比、当年累计进口额、当年累计进口同比等情况。,政府办事,贸易.进口,经济建设,对外贸易,业务类,普遍公开,2015-01-05,2017-10-23,上海市商务委员会
4853,777,上海市货物贸易出口情况数据产品发布了上海市货物贸易当月出口额、当月出口同比、当年累计出口额、当年累计出口同比等情况。,政府办事,贸易.出口,经济建设,对外贸易,业务类,普遍公开,2015-01-05,2017-10-23,上海市商务委员会
2760,580,上海市自然保护区数据，主要包括：名称、级别、主要保护对象、保护/规划面积、行政区域、建立规划时间等。,政府办事,自然保护区,民生服务,土地,业务类,特定公开,2015-01-13,2017-10-21,上海市绿化和市容管理局
2672,546,全市野生动植物重要栖息地，主要包括：名称、级别、主要保护对象、保护规划面积、行政区域、建立规划时间。,政府办事,野生动植物重要栖息地,民生服务,水资源,业务类,特定公开,2015-01-13,2017-10-21,上海市绿化和市容管理局
2559,456,上海市主要湿地。主要包括：湿地名称、面积、所属区县。上海市主要湿地。主要包括：湿地名称、面积、所属区县。,社区周边生活服务,湿地,民生服务,水资源,业务类,特定公开,2015-01-13,2017-10-21,上海市绿化和市容管理局
7027,1129,上海市市级以上河流水质状况，评价方法采用《地表水环境质量评价办法（试行）》（环办[2011]22号）进行单因子评价。,政府办事,地表水，水质评价,资源环境,环境污染、监测,业务类,普遍公开,2015-07-23,2017-10-20,上海市环境保护局
2302,354,绿化市容行业行政审批得到的从事园林绿化行业业务的企业单位情况。,政府办事,营业执照注册号，法人名称，证件名称，证件号，发证单位，资质等级，有效期起，有效期止,城市建设,综合类,业务类,普遍公开,2015-10-30,2017-10-16,上海市绿化和市容管理局
2622,335,由绿化市容局组织评选的达到花园标准的单位信息，包括：区县、单位名称、命名时间。,政府办事,区县，单位名称，命名时间,城市建设,综合类,业务类,普遍公开,2015-10-30,2017-10-16,上海市绿化和市容管理局
3185,771,绿化市容管理与服务机构、地址、联系方式、邮编。可主公开查询。,政府办事,机构名称，联系地址,机构团体,综合类,业务类,特定公开,2015-01-12,2017-10-16,上海市绿化和市容管理局
13847,5514,上海市生猪养殖情况一览表，由上海市畜牧办提供上海市近期生猪存栏，母猪存栏，苗猪平均价格信息。,政府办事,上海.生猪.养殖,经济建设,畜牧业,业务类,普遍公开,2015-10-23,2017-10-12,上海市农业委员会
2879,329,排水行业数据库及其管理系统中下立交积水自动监测站点信息资料。包括名称.地址.管理单位.养护单位.运营单位.产权单位。,交通出行,名称.地址.管理单位.养护单位.运营单位.产权单位,资源环境,综合类,业务类,普遍公开,2015-10-29,2017-10-12,上海市水务局
3688,634,上海主要国际展览会信息数据产品主要发布了上海市主要国际展览会名称、计划办展时间、展览场地等信息。,政府办事,国际展览会,经济建设,综合类,其他类,普遍公开,2015-01-05,2017-10-11,上海市商务委员会
3331,584,最近三年按月份开列的货物运输总量（月度）.比如2013年1月、2月、3月、4月、5月、6月、7月、8月、9月一直到12月。,政府办事,近三年，货物运输总量，按月度,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
2869,446,最近三年按月份开列的工业生产者出厂价格指数（月度）.比如2016年1月、2月、3月、4月、5月、6月、7月、8月、9月一直到12月。,政府办事,近三年，工业生产者出厂价格指数，按月度,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
2916,454,最近三年按月份开列的工业生产者购进价格指数（月度）.比如2016年1月、2月、3月、4月、5月、6月、7月、8月、9月一直到12月。,政府办事,近三年，工业生产者购进价格指数，按月度,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
4132,706,近三年全社会房地产开发总额（月度累计），比如2013年1月、2月、3月、4月、5月、6月、7月、8月、9月一直到12月。,政府办事,近三年，全社会房地产开发总额，按当年1月至本月月度累计,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
3323,511,近三年全社会固定资产投资总额（月度累计），比如2013年1月、2月、3月、4月、5月、6月、7月、8月、9月一直到12月。,政府办事,近三年，全社会固定资产，投资总额，按当年1月至本月月度累计,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
3270,531,近三年上海市商品销售总额（月度），比如2013年1月、2月、3月、4月、5月、6月、7月、8月、9月一直到12月。,政府办事,近三年，上海市，商品销售总额，按月度,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
3151,502,近三年上海市出口总额（按月度），比如2013年1月、2月、3月、4月、5月、6月、7月、8月、9月一直到12月。,政府办事,近三年，上海市，出口总额，按月度分,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
3176,494,近三年上海市进口总额（按月度），比如2013年1月、2月、3月、4月、5月、6月、7月、8月、9月一直到12月。,政府办事,近三年，上海市，进口总额，按月度,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
4731,739,近三年社会消费品零售额（月度），比如2013年1月、2月、3月、4月、5月、6月、7月、8月、9月一直到12月。,政府办事,近三年，社会消费品零售额，按月度,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
1611,204,上海市最近三年按月度统计的居民消费价格指数。,社区周边生活服务,上海市，最近三年，月度，居民消费价格指数,社会发展,统计,其他类,普遍公开,2017-07-06,2017-10-09,上海市统计局
4469,567,最近三年以来，上海市外商实际投资实际到位金额总额（按月度累计）,政府办事,近三年，外商实际投资，实际到位金额总额，（按当年1月至本月月度累计）,经济建设,统计,业务类,普遍公开,2015-01-28,2017-10-09,上海市统计局
2629,304,上海市环境卫生水上运输保洁单位的情况，包括：企业名称、单位地址、邮编。,政府办事,企业名称，单位地址，邮编,城市建设,城乡建设与环境保护综合类,业务类,普遍公开,2015-10-30,2017-09-28,上海市绿化和市容管理局
3325,510,对照上海市林荫道评定标准，通过各区、县自评推荐，经市、区相关专家现场两轮评定，产生的上海市林荫道情况,政府办事,道路，路段,文化休闲,城乡建设与环境保护综合类,业务类,普遍公开,2015-10-09,2017-09-28,上海市绿化和市容管理局
1926,282,单位名称、电话、地址等。各区县相关单位、各管委会单位名称、联系电话、联系地址、联系人。,政府办事,初步设计,城市建设,城乡建设,机构职能,普遍公开,2015-09-29,2017-09-21,上海市住房和城乡建设管理委员会
2348,351,工程名称、工程地址、工程形式、工程类别、建筑面积、已用面积、用途等。,交通出行,普通地下室，工程名称，工程地址,城市建设,城乡建设,业务类,特定公开,2015-10-09,2017-09-21,上海市住房和城乡建设管理委员会
2648,391,上海市“安全优质信得过果园”名单，共55家，由上海市林业总站提供对外开放服务。,政府办事,果园名称,民生服务,林业,业务类,特定公开,2015-01-21,2017-09-20,上海市绿化和市容管理局
2766,495,数据为全市所有古树名木的信息。有地理数据。包括：地址、所属区县和街道，树龄等。,政府办事,古树名木,民生服务,综合类,其他类,特定公开,2015-01-13,2017-09-20,上海市绿化和市容管理局
2844,603,本数据为机动车辆清洗点，为市容处管理范畴。现为备案制。包括名称、地址和所属区县。,交通出行,车辆清洗点,民生服务,综合类,业务类,特定公开,2015-01-13,2017-09-13,上海市绿化和市容管理局
3603,808,再生资源回收经营企业信息数据产品主要发布了上海市再生资源回收经营企业名称、所属区县、经营地址、联系人、联系电话等信息。,政府办事,再生资源.经营企业,资源环境,国内贸易,业务类,普遍公开,2015-10-28,2017-09-12,上海市商务委员会
1539,245,活禽定点零售交易点信息包括各区县活禽定点零售交易点名称、地址、服务时间、联系电话等信息。,社区周边生活服务,活禽定点零售交易点,民生服务,国内贸易,业务类,普遍公开,2015-10-28,2017-09-12,上海市商务委员会
1740,322,拍卖资质企业信息主要包括具有拍卖资质的企业名称、批准时间等信息。,政府办事,拍卖资质企业,经济建设,国内贸易,业务类,普遍公开,2015-10-29,2017-09-12,上海市商务委员会
1823,343,典当企业信息主要包括具有典当资质的企业名称、批准时间等信息。,社区周边生活服务,典当企业,经济建设,国内贸易,业务类,普遍公开,2015-10-29,2017-09-12,上海市商务委员会
2277,353,上海市社区智慧微菜场名单信息主要包括上海市各个社区智慧微菜场的名称、经营品牌、所属区域、具体地址等信息。,社区周边生活服务,智慧微菜场,民生服务,国内贸易,业务类,普遍公开,2015-11-30,2017-09-12,上海市商务委员会
2410,426,单用途商业预付卡备案企业信息主要包括单用途商业预付卡备案企业名称、备案号、所属行业、电话、地址等信息,政府办事,单用途商业预付卡,经济建设,国内贸易,业务类,普遍公开,2015-10-28,2017-09-12,上海市商务委员会
4008,654,上海市消费指数信息数据产品主要发布了上海市每月消费市场指数的信息。,政府办事,消费指数,经济建设,商贸综合类,业务类,普遍公开,2015-01-05,2017-09-12,上海市商务委员会
4009,1385,再生资源回收网点备案信息数据产品主要发布了上海市再生资源回收网点名称、所属区县、经营地址、联系人、联系电话等信息。,政府办事,再生资源.回收网点,资源环境,国内贸易,业务类,普遍公开,2015-01-05,2017-09-12,上海市商务委员会
1442,121,货运和货运站许可号、企业名称、经营地址、经营范围、法人、经济类型等,政府办事,货运和货运站许可信息,道路交通,交通运输,业务类,特定公开,2016-10-28,2017-09-06,上海市交通委员会
1631,152,驾培业户许可证号、企业名称、法人、注册地址、经营范围、有效期等,培训与就业,驾驶员培训许可信息,道路交通,交通运输,业务类,特定公开,2016-10-28,2017-09-06,上海市交通委员会
1218,127,外商投资运输业许可号、企业名称、法人、经营地址、经营范围、有效期等,政府办事,外商投资运输业许可信息,道路交通,交通运输,业务类,特定公开,2016-10-28,2017-09-06,上海市交通委员会
1663,164,汽修业户许可证号、企业名称、法人、经济类型、经营地址、经营范围、有效期等,政府办事,汽修业户许可信息,道路交通,交通运输,业务类,特定公开,2016-10-28,2017-09-06,上海市交通委员会
7085,1931,行政区域、受理号、归档号、行业类别、事项名称、申请人、项目名称、项目地址、受理时间等,政府办事,水务.区县.行政审批.报表,资源环境,水利,业务类,特定公开,2014-12-29,2017-08-15,上海市水务局
3212,472,上海市体育局、市体育局直属单位、各区县体育局、各协会的名称、地址、电话、邮编,政府办事,体育机构,文化休闲,体育,业务类,普遍公开,2015-01-21,2017-08-11,上海市体育局
2464,321,上海市体彩销售点门店号、电话、区县、门店区域、地址、邮编,社区周边生活服务,体彩，销售点,文化休闲,体育,业务类,普遍公开,2015-05-06,2017-08-03,上海市体育局
2117,262,上海体育彩票公益金的筹集、分配、使用情况，包括上缴、下拨、补贴等,政府办事,体育彩票,文化休闲,体育,业务类,普遍公开,2015-04-28,2017-07-26,上海市体育局
3395,584,2010年第六次全国人口普查，上海市分不同学习阶段的学生年龄构成,政府办事,第六次人口普查受教育程度人口的年龄构成,社会发展,统计,业务类,普遍公开,2015-01-28,2017-07-04,上海市统计局
2470,151,提供1978年以来上海全社会固定资产投按国有经济、集体经济等经济类型分组的数据。,政府办事,1978年以来，上海，全社会，按经济类型分的固定资产投资,经济建设,统计,业务类,普遍公开,2012-12-04,2017-07-04,上海市统计局
3720,736,上海市审计局根据有关规定向社会公告的审计结果。主要内容包括基本情况和审计评价、审计(调查)发现的主要问题、审计处理情况及意见、以及审计（调查）发现问题的整改情况等。,政府办事,审计 结果,经济建设,审计,业务类,普遍公开,2015-10-22,2017-07-03,上海市审计局
3939,477,上海市危险废物经营许可证名单，包括单位名称、法定代表人、经营设施地址、核准经营范围、联系人、联系电话、许可内容、许可证副本浏览等信息,政府办事,危险废物经营许可证,资源环境,环境保护、治理,业务类,普遍公开,2015-03-17,2017-06-30,上海市环境保护局
4086,581,上海市建设项目环境影响评价单位信息，包括单位名称、证书编号、资质等级、地址、邮编、联系人、联系电话、评价范围等信息,政府办事,建设项目，环境影响评价单位,资源环境,环境保护、治理,业务类,普遍公开,2015-03-17,2017-06-30,上海市环境保护局
3325,589,内容主要包括上海市审计局根据上海审计工作的年度主要任务和重点安排的年度重点审计项目计划。,政府办事,审计 项目计划,经济建设,审计,规划计划,普遍公开,2015-10-09,2017-06-19,上海市审计局
2531,310,上海市审计局市人民政府委托，向市人大常委会报告关于市本级预算执行和其他财政收支审计查出问题的整改情况。,政府办事,审计 整改 报告,经济建设,审计,业务类,普遍公开,2015-10-22,2017-06-19,上海市审计局
2897,523,内容主要包括全市审计机关组织开展审计和审计调查项目，查出违规金额、损失浪费金额，促进财政增收节支，移送案件线索和事项等审计工作成果。,政府办事,审计 成果,经济建设,审计,业务类,普遍公开,2015-10-09,2017-06-19,上海市审计局
1834,178,上海市水务项目咨询评估信息，包含项目委托单位、项目类别、评估状态累计信息.,政府办事,水务项目，咨询评估,资源环境,水利,业务类,普遍公开,2016-11-09,2017-06-02,上海市水务局
4105,567,排水行业数据库及其管理系统中污水处理设施信息资料。包括单位名称.厂址.上级主管部门.设计规模(万m3/日).年处理水量(万m3).填表日期。,政府办事,单位名称.厂址.上级主管部门.设计规模(万m3/日).年处理水量(万m3).填表日期,资源环境,综合类,业务类,普遍公开,2015-10-29,2017-06-02,上海市水务局
2780,423,排水行业数据库及其管理系统中道路积水自动监测站点信息资料。包括名称.地址。,政府办事,名称.地址,资源环境,综合类,业务类,普遍公开,2015-10-29,2017-06-02,上海市水务局
2312,309,排水行业数据库及其管理系统中防汛应急子系统的设备资料。包括抢险范围，组成单位，设备类型，品牌，数量，流量(m3/h)，扬程（m)，发电机功率（kw），集结地点，联系人，联系电话,交通出行,设备类别，品牌，数量,资源环境,综合类,业务类,普遍公开,2015-10-29,2017-06-02,上海市水务局
2314,278,排水行业数据库及其管理系统中防汛应急子系统物资资料。包括储备点名称.储备点地址.联系人.电话.备注。,社区周边生活服务,储备点名称.储备点地址.联系人.电话.备注,资源环境,综合类,业务类,普遍公开,2015-10-29,2017-06-02,上海市水务局
3320,559,上海市17个各区县监察局、4个中央在沪单位监察部的联系信息，主要包括：名称、地址和联系电话。,政府办事,上海，监察，地址，电话,机构团体,综合类,其他类,普遍公开,2015-10-30,2017-05-31,上海市监察局
4216,341,提供水务、海洋行政审批事项目录，包括行政审批事项名称、行政审批办事指南、审批流程等信息。,政府办事,行政审批事项名称、办事指南,资源环境,水利,业务类,普遍公开,2017-02-07,2017-05-27,上海市水务局
2695,412,提供全市律师的姓名、性别、发证时间、证书编号等信息供市民查询,政府办事,律师,社会发展,司法,业务类,普遍公开,2015-11-02,2017-05-15,上海市司法局
2751,453,提供律师事务所名称、地址、执业许可证号、联系电话等信息供市民查询,政府办事,律师事务所,社会发展,政法综合类,其他类,普遍公开,2015-03-10,2017-05-15,上海市司法局
2184,280,提供公证员姓名、性别、级别、发证日期、证书编号等基础信息供市民查询,政府办事,公证员,社会发展,司法,业务类,普遍公开,2015-11-04,2017-05-15,上海市司法局
2629,370,提供公证处的机构名称、地址、联系电话、传真、负责人等信息供市民查询,政府办事,公证处,社会发展,政法综合类,其他类,普遍公开,2015-03-10,2017-05-15,上海市司法局
2620,265,提供司法鉴定人的姓名、性别、级别、发证日期、证书编号等信息供市民查询,政府办事,司法鉴定人,社会发展,司法,业务类,普遍公开,2015-10-30,2017-05-15,上海市司法局
2568,359,提供司法鉴定机构名称、地址、联系电话、传真、负责人等信息供市民查询,政府办事,司法鉴定机构,社会发展,政法综合类,其他类,普遍公开,2015-03-10,2017-05-15,上海市司法局
2867,415,主要提供司法所名称、地址、联系电话、服务时间等信息供市民查询,政府办事,法律服务.街道乡镇司法所,机构团体,政法综合类,其他类,普遍公开,2015-01-20,2017-05-15,上海市司法局
2930,388,提供社区矫正中心名称、区县、地址、联系电话、邮编等信息供市民查询,社区周边生活服务,社区矫正中心,公共安全,政法综合类,其他类,普遍公开,2015-10-30,2017-05-15,上海市司法局
3140,374,提供人民调解委员会名称、邮编、联系电话、区县等信息供市民查询,政府办事,司法鉴定机构,社会发展,政法综合类,其他类,普遍公开,2015-10-30,2017-05-15,上海市司法局
2769,391,提供医患纠纷人民调解委员会名称、区县、地址、联系电话等信息供市民查询,就医与保健,医患纠纷人民调解委员会,卫生健康,政法综合类,其他类,普遍公开,2015-10-30,2017-05-15,上海市司法局
2819,380,主要提供法律援助中心机构名称、地址、联系电话、传真、负责人供市民查询,政府办事,法律援助中心,机构团体,政法综合类,其他类,普遍公开,2015-03-10,2017-05-15,上海市司法局
2176,271,提供基层法律工作者姓名、性别、级别、发证日期、证书编号等信息供市民查询,政府办事,基层法律工作者,社会发展,司法,其他类,普遍公开,2015-11-04,2017-05-15,上海市司法局
2663,362,提供服务所名称、地址、联系电话、负责人、执业证号等信息供市民查询,政府办事,基层法律服务所,社会发展,政法综合类,其他类,普遍公开,2015-03-10,2017-05-15,上海市司法局
1290,89,护士执业注册包括：姓名、审批机关、执业机构名称、性别、执业证号、批准日期。,培训与就业,护士 执业注册,卫生健康,医疗保健,机构职能,特定公开,2016-11-16,2017-04-27,上海市卫生和计划生育委员会
1653,197,建设项目预防性卫生审核包括：项目名称、申请单位名称、批准文号、审批日期。,政府办事,建设项目 预防性 卫生审核,卫生健康,医疗保健,机构职能,特定公开,2016-07-12,2017-04-27,上海市卫生和计划生育委员会
1978,208,健康相关产品生产能力审核包括：生产企业、生产地址、生产项目。,政府办事,健康相关产品 生产能力 审核,卫生健康,医疗保健,机构职能,特定公开,2016-07-08,2017-04-27,上海市卫生和计划生育委员会
1986,226,涉及饮用水卫生安全的产品卫生许可包括：序号、产品名称、申请单位、批准文号、批准日期、有效期。,就医与保健,饮用水 卫生安全 产品 卫生许可,卫生健康,医疗保健,机构职能,特定公开,2016-07-08,2017-04-27,上海市卫生和计划生育委员会
1529,145,医疗机构设置审批（内资医疗机构）包括：批准设置机构名称、地址、诊疗科目、床位、经营性质。,就医与保健,医疗机构 设置审批 内资医疗机构,卫生健康,医疗保健,机构职能,特定公开,2016-11-16,2017-04-27,上海市卫生和计划生育委员会
1789,223,医疗机构执业登记信息包括：医疗机构名称、地址、诊疗科目、服务方式、床位、经营性质、法定代表人。,政府办事,医疗机构 执业登记 信息,卫生健康,医疗保健,机构职能,特定公开,2016-11-16,2017-04-27,上海市卫生和计划生育委员会
1533,153,医师执业注册包括：姓名、性别、执业范围、执业地点、发证/有效日期、发证机关、执业类别、医师级别。,培训与就业,医师 执业注册,卫生健康,医疗保健,机构职能,特定公开,2016-11-24,2017-04-27,上海市卫生和计划生育委员会
1249,88,医师资格证书核发信息包括：姓名。数据更新频率为每年更新一次。,培训与就业,医师资格证书 核发,卫生健康,医疗保健,机构职能,特定公开,2016-11-24,2017-04-27,上海市卫生和计划生育委员会
1161,72,乙类大型医用设备配置的审批包括：名称、批准文号、设备名称、批准日期。,就医与保健,乙类 大型医用设备 配置 审批,卫生健康,医疗保健,机构职能,特定公开,2016-11-16,2017-04-27,上海市卫生和计划生育委员会
3245,661,统计表包括：机构分类、机构个数、实有床位数、在岗职工、合计(含乡村医生、卫生员)、合计(不含乡村医生、卫生员)、乡村医生、卫生员、卫生技术人员、技术人员、管理人员、工勤技能人员、执业(助理)医师、执业医师、注册护士、药师(士)、技师(士)、其他。,政府办事,全市 医疗卫生机构 床位 人员基本情况 统计,卫生健康,医疗保健,机构职能,特定公开,2016-07-12,2017-04-26,上海市卫生和计划生育委员会
3409,664,全市医疗机构分区县域分科门诊诊疗情况统计表包括：合计、预防保健科、全科医疗科、内科、外科、妇产科、妇女保健科、儿科、小儿外科、儿童保健科、眼科、耳鼻咽喉科、口腔科、皮肤科、医疗美容科、精神科、传染科、结核病科、肿瘤科、急诊医学科、康复医学科等。,政府办事,医疗机构 区县 分科 门诊 诊疗情况 统计,卫生健康,医疗保健,机构职能,特定公开,2016-07-08,2017-04-26,上海市卫生和计划生育委员会
3778,958,统计表包括：机构、总诊疗人次数、门急诊人次数、平均每天门急诊人次、平均每一门急诊费用、观察室入观病例数、健康检查人次数、入院人数、出院人数、实际占用总床日数、平均每天住院人数、平均每出院者住院天数、平均每一出院者住院费、平均每一出院病人床日费用等。,政府办事,医疗机构 业务情况 统计,卫生健康,医疗保健,机构职能,特定公开,2016-07-12,2017-04-25,上海市卫生和计划生育委员会
3346,865,统计表包括：总诊疗人次数、门急诊人次数、平均每天门急诊人次、平均每一门急诊费用、观察室入观病例数、健康检查人次数、入院人数、出院人数、实际占用总床日数、平均每天住院人数、平均每出院者住院天数、平均每一出院病人床日费用、病床使用率、病床周转率等。,政府办事,区县 医疗机构院 业务情况 统计,卫生健康,医疗保健,机构职能,特定公开,2016-07-12,2017-04-25,上海市卫生和计划生育委员会
2630,371,提供上海市工商行政管理局最近一年内资企业注销登记的公告数据。,政府办事,内资企业，注销，公告,经济建设,综合类,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
2784,397,提供上海市工商行政管理局最近一年市局登记的外资企业设立公告数据。,政府办事,市局，外资企业，设立，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
2481,323,提供上海市工商行政管理局最近一年市局登记的外资企业名称变更公告数据。,政府办事,市局，外资企业，名称变更，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
2429,306,提供上海市工商行政管理局最近一年市局登记的外资企业注销公告数据 。,政府办事,市局外资企业注销公告数据,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
2460,301,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构设立公告数据。,政府办事,市局，外国（地区）常驻代表机构，设立，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
2019,286,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构名称变更公告数据。,政府办事,市局，外国（地区）常驻代表机构，名称变更，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
1967,286,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构换证公告数据。,政府办事,市局，外国（地区）常驻代表机构，换证，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
2023,308,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构注销公告数据。,政府办事,市局，外国（地区）常驻代表机构，注销，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
1995,303,提供上海市工商行政管理局最近一年市局登记的外国（地区）常驻代表机构撤销公告数据。,政府办事,市局，外国（地区）常驻代表机构，撤销，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
2198,360,提供上海市工商行政管理局最近一年浦东新区分局登记的外资企业设立公告数据。,政府办事,浦东新区分局，外资企业，设立，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
1779,293,提供上海市工商行政管理局最近一年浦东新区分局登记的外资企业名称变更公告数据。,政府办事,浦东新区分局，外资企业，名称变更，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
1823,307,提供上海市工商行政管理局最近一年浦东新区分局登记的外资企业注销公告数据。,政府办事,浦东新区分局，外资企业，注销，公告,经济建设,工商,业务类,普遍公开,2012-11-23,2017-04-25,上海市工商行政管理局
