3938,476,按照《科普税收优惠政策实施办法》（国科发政[2003]416号）规定，经上海市科学技术委员会认定的科普教育基地名录,学校教育与终身教育,上海 科技 科普 基地,教育科技,科教综合类,其他类,普遍公开,每年,2015-09-30,2017-12-28,上海市科学技术委员会
2863,517,本市殡葬服务代理机构的机构名称、地址、邮编、电话、联系人、所属区县、所属街镇、机构性质、建造状态、服务范围等信息。,社区周边生活服务,殡葬服务代理机构,民生服务,民政,业务类,普遍公开,每年,2014-12-29,上海市民政局
2389,361,经常性社会救助接收点的机构地址、所属区县、所属街道、地址、联系电话、联系人等信息。,社区周边生活服务,经常性社会救助接收点,民生服务,民政,业务类,普遍公开,每半年,2014-12-29,2017-12-27,上海市民政局
2280,131,上海市服务外包示范区基本情况，示范区名称、主要产业、地理位置、目前发展状况等信息。,政府办事,服务外包.示范区,经济建设,商贸综合类,业务类,普遍公开,每年,2012-12-07,上海市商务委员会
2123,301,上海对外承包工程完成营业额、新签合同额数据产品主要发布了上海市对外承包工程新签合同及完成情况。,政府办事,对外承包工程,经济建设,对外贸易,业务类,普遍公开,每月,2015-01-05,2017-12-25,上海市商务委员会
3217,582,全球工业联合会、商业部、贸易理事会等贸易促进机构基本信息、贸促机构地址、电话、电子邮件及网址等信息。,政府办事,全球.贸促.机构,经济建设,商贸综合类,业务类,普遍公开,每年,2012-12-07,上海市商务委员会
3512,686,由国务院批准在上海设立的各类国家级开发区和由上海市人民政府批准设立的市级工业开发区基本概况，开发区面积、位置、介绍、开发公司及开发公司联系方式等。,政府办事,开发区.国家级.市级,经济建设,商贸综合类,业务类,普遍公开,每年,2012-12-07,2017-12-25,上海市商务委员会
2272,468,2011年以来，历年上海外商投资的基本情况以及未来上海的发展方向，内容包括上海外商投资的趋势、外资总部在上海落户情况、第一（第二、第三）产业在沪投资情况等。,政府办事,外资.投资环境,经济建设,商贸综合类,其他类,普遍公开,每年,2012-12-07,上海市商务委员会
2231,414,自2011年以来，在上海举办的重要展会项目基本情况，展会的时间、地点、主要展出内容、展会面积、办展场馆和办展单位等。,政府办事,展会.项目,经济建设,商贸综合类,业务类,普遍公开,每月,2012-12-07,2017-12-25,上海市商务委员会
2361,422,2006-2008年、2009-2010年上海市实施“走出去”战略先进企业情况。,政府办事,走出去.先进企业,经济建设,商贸综合类,业务类,普遍公开,每年,2012-12-07,上海市商务委员会
2545,524,自2010年开始，上海历年电子商务示范企业基本情况，包括电子商务示范企业的业务领域、企业介绍及网址等信息。,学校教育与终身教育,电子商务.示范企业,经济建设,商贸综合类,业务类,普遍公开,每年,2012-12-07,2017-12-25,上海市商务委员会
2580,476,上海市服务外包专业园区基本情况，服务外包专业园区名称、认定时间、主要业务、园区发展状况等信息。,政府办事,服务外包.专业园区,经济建设,商贸综合类,业务类,普遍公开,每年,2012-12-07,上海市商务委员会
2513,498,上海主要展馆信息数据产品主要发布了上海市主要展馆名称、地理位置、场馆介绍等信息。,政府办事,展馆,经济建设,综合类,其他类,普遍公开,每年,2015-01-05,2017-12-25,上海市商务委员会
5600,2389,十一五期间上海划定的20个现代服务业集聚区基本情况、所属区县、地理范围、主要产业等信息。十二五期间上海25个现代服务集聚区基本情况。,政府办事,现代服务业.集聚区,经济建设,服务业,业务类,普遍公开,每年,2012-12-07,上海市商务委员会
2147,336,上海对外劳务合作派遣人数、月末在外人数数据产品主要发布了上海市对外劳务合作派遣人员情况。,培训与就业,劳务合作,社会发展,对外贸易,业务类,普遍公开,每月,2015-01-05,2017-12-25,上海市商务委员会
2172,354,上海对外直接投资核准额数据产品主要发布了上海市对外直接投资核准投资总额及核准中方投资额情况。,政府办事,对外直接投资,经济建设,对外贸易,业务类,普遍公开,每月,2015-01-05,上海市商务委员会
3505,699,上海市1000万美元以上外商投资项目情况，自2011年开始的每月1000万以上外商投资项目数量及占全市比重情况。 每半年公开一次信息。,政府办事,1000万美元以上.外资,经济建设,对外贸易,业务类,普遍公开,每半年,2012-12-07,2017-12-25,上海市商务委员会
2848,711,经上海市政府推荐及中国人民银行等相关部委确认后，可以参与跨境贸易人民币结算试点的上海市进出口企业情况。,政府办事,跨境人民币结算.试点企业名单,经济建设,对外贸易,业务类,普遍公开,每年,2012-12-07,上海市商务委员会
2316,636,自2004年开始的上海对外承包工程完成营业额、新签合同额、非金融类对外直接投资额（单位：万美元）。,政府办事,对外承包工程.营业额,经济建设,对外贸易,业务类,普遍公开,每年,2012-12-07,2017-12-25,上海市商务委员会
4231,807,自2008年开始上海对外贸易经营真申请备案开展对外贸易经营活动等级情况，包括当月新增企业中商贸、私营、外资企业机构情况等。,政府办事,对外贸易经营者.备案登记,经济建设,对外贸易,业务类,普遍公开,每月,2012-12-07,上海市商务委员会
8192,4719,美国、英国、法国、德国等主要国家国内生产总值（GDP）、消费者物价指数（COI）、劳动力、失业人数外汇储备等贸易经济数据。,政府办事,主要国家.贸易.经济.数据,经济建设,商贸综合类,业务类,普遍公开,每年,2012-12-07,2017-12-25,上海市商务委员会
1830,302,区县商务主管部门基本信息主要包括各区县商务主管部门名称、地址、联系电话、服务时间及附近交通等信息。,政府办事,商务主管部门,机构团体,经贸管理,机构职能,普遍公开,每年,2015-11-03,上海市商务委员会
2203,357,二手车鉴定评估机构主要介绍二手车鉴定评估机构企业名称、批准时间及有效截止时间等信息。,社区周边生活服务,二手车,道路交通,国内贸易,业务类,普遍公开,每年,2015-11-03,2017-12-25,上海市商务委员会
2950,562,二手车交易信息主要包括二手车市场名称、交易量、交易额及车型等信息。,交通出行,二手车,道路交通,国内贸易,业务类,普遍公开,每年,2015-11-03,上海市商务委员会
8109,1365,上海市标准化菜市场建设基本情况， 2005年完成100家标准化菜市场建设任务，2006年以食品安全为核心，完成了300家标准化菜市场的建设任务。截止2006年底，已建成400家标准化菜市场，2007年继续改造230家,政府办事,标准化.菜市场,民生服务,商贸综合类,业务类,普遍公开,每年,2012-12-07,2017-12-25,上海市商务委员会
2383,440,报废机动车信息主要包含每一年度报废车数量、吨位、车型等信息。,交通出行,报废机动车,道路交通,国内贸易,业务类,普遍公开,每年,2015-11-03,上海市商务委员会
2645,525,本市各类会展信息主要包括上海市每年度各类会展名称、内容、举办时间、举办地点等信息。,政府办事,会展,经济建设,商贸综合类,业务类,普遍公开,每年,2015-11-30,2017-12-25,上海市商务委员会
3700,580,上海市技术进出口交易会亮点企业情况数据产品主要发布了上海市技术进出口交易会亮点项目名称、亮点、基本情况、本届上交会特色展品（技术）等信息。,政府办事,技术进出口.亮点企业,经济建设,综合类,其他类,普遍公开,每年,2015-01-05,上海市商务委员会
133,17,上海猪肉流通安全信息追溯商品信息发布了商品的编码以及商品名称等信息。,政府办事,猪肉流通安全,经济建设,商贸综合类,业务类,普遍公开,每年,2017-10-31,2017-12-25,上海市商务委员会
4431,790,上海市消费指数信息数据产品主要发布了上海市每月消费市场指数的信息。,政府办事,消费指数,经济建设,商贸综合类,业务类,普遍公开,每月,2015-01-05,上海市商务委员会
1464,97,根据市农委行政许可事项办理要求，通过渔业捕捞许可的有关信息，包括：企业/申请人，申请办理编号，发证日期，许可证编号等。,政府办事,企业/申请人 .申请办理编号 .发证日期 . 许可证编号,经济建设,渔业,业务类,普遍公开,每年,2016-12-13,2017-12-22,上海市农业委员会
2944,352,上海市农委种植业办提供的本市农作物种子生产许可信息，主要包括：单位名称、许可证编号、发证日期、有效期至、发证机关、作物种类、品种(组合)、生产地点等信息。,政府办事,农作物.种子.生产,经济建设,农业,业务类,普遍公开,每年,2015-10-29,上海市农业委员会
3337,581,上海市农委畜牧办提供上海市优良种猪登记结果信息，内容包括：类别、原种猪场、登记品种、优良种猪数量等。,政府办事,种猪,经济建设,畜牧业,业务类,普遍公开,每年,2015-10-27,2017-12-22,上海市农业委员会
1388,87,上海食用农副产品安全质量安全信息.,政府办事,厂商名称.厂商描述.商品条码.商品名称.生产地名称.抽查内容及结果,经济建设,农业,业务类,普遍公开,每年,2016-12-13,上海市农业委员会
2337,350,上海市中心城区犬只狂犬病免疫点，由市农委畜牧办提供，包括：区县、宠物诊所、地址、负责人、联系电话等信息。,政府办事,宠物.诊所.,民生服务,畜牧业,业务类,普遍公开,每年,2015-10-26,2017-12-22,上海市农业委员会
1602,110,根据行政许可事项办理要求，市农委核发拖拉机号牌、行驶证信息，包括：申请办理编码、企业/申请人、发证日期、证书编号等。,政府办事,申请办理编码 . 企业/申请人 . 发证日期 . 证书编号,经济建设,农业,业务类,普遍公开,每年,2016-12-13,上海市农业委员会
1438,99,根据行政许可办理要求，市农委核发联合收割机号牌、行驶证有关信息。含申请办理编码、企业/申请人、发证日期、证书编号等信息。,政府办事,请办理编码 . 企业/申请人 . 发证日期 . 证书编号,经济建设,农业,业务类,普遍公开,每年,2016-12-13,2017-12-22,上海市农业委员会
1382,105,本市有关企业通过市农委行政许可审批，跨省市引进乳用及种用动物，含企业名称、办理编码、发证日期、许可证编号信息。,政府办事,业名称 . 办理编码 . 发证日期 . 许可证编号,经济建设,畜牧业,业务类,普遍公开,每年,2016-12-13,上海市农业委员会
3094,393,上海市农委提供本市农作物种子经营许可信息，包括：单位名称、许可证编号、发证日期、有效期至、住所、经营范围等信息。,政府办事,农作物 . 种子 . 经营,经济建设,农业,业务类,普遍公开,每年,2015-10-29,2017-12-22,上海市农业委员会
2623,368,上海市清真食品、清真副食、清真饮食的网点名称、所属行政区域、具体地址等,政府办事,清真.食品.副食.饮食,民生服务,综合类,业务类,普遍公开,每年,2015-06-02,上海市民族和宗教事务委员会
2939,466,上海市佛教、道教、伊斯兰教、天主教、基督教等教别的教职人员姓名、教别、所在单位等。,政府办事,宗教.教职人员,教育科技,综合类,业务类,普遍公开,每年,2015-05-26,2017-12-22,上海市民族和宗教事务委员会
3152,618,上海市佛教、道教、伊斯兰教、天主教、基督教场所名称、宗教教别、行政区域、地址、负责人、联系电话、情况简介等,政府办事,宗教场所,民生服务,综合类,业务类,普遍公开,每年,2014-12-30,上海市民族和宗教事务委员会
7640,2161,行政区域、受理号、归档号、行业类别、事项名称、申请人、项目名称、项目地址、受理时间等,政府办事,水务.区县.行政审批.报表,资源环境,水利,业务类,普遍公开,每月,2014-12-29,2017-12-22,上海市水务局
3491,649,上海市农委提供的国家级、市级农业产业化重点龙头企业信息，包括：级别、企业名称、地址、联系人、电话等。,政府办事,农业.重点龙头企业,经济建设,农业,业务类,普遍公开,每年,2015-10-27,上海市农业委员会
3528,666,上海农村土地承包经营权流转管理服务中心包含中心名称、所在区县、地址等信息。,政府办事,土地，承包，流转,机构团体,农业,业务类,普遍公开,每年,2014-11-14,2017-12-20,上海市农业委员会
3301,641,上海农家乐旅游点，有上海市农委农业旅游协会提供，包括区县、景点名称、联系电话等信息。,政府办事、社区周边生活服务,农家乐,文化休闲,服务业,其他类,普遍公开,每年,2015-10-23,上海市农业委员会
2545,303,上海市进口废塑料加工利用企业环保核查合格名单，包括企业名称、批次、公示时间等内容。,政府办事,进口废塑料加工利用企业，环保核查,资源环境,环境保护、治理,业务类,普遍公开,每季度,2016-06-12,2017-12-20,上海市环境保护局
293,27,取得粮食收购许可证的经营者名称，法人代表，发证有效期，粮食收购许可证编号，企业地址及联系电话,政府办事,粮食，收购许可,经济建设,经贸管理,业务类,普遍公开,每年,2017-11-06,上海市粮食局
1984,325,上海市规划和国土资源管理局门户网站发布的政策法规类规范性文件信息。,政府办事,政策法规,城市建设,综合类,政策法规,普遍公开,每半年,2016-06-14,2017-12-18,上海市规划和国土资源管理局
1680,217,上海市规划和国土资源管理局门户网站发布的工作动态等新闻类信息。,政府办事,新闻类信息,城市建设,综合类,其他类,普遍公开,每半年,2016-06-14,上海市规划和国土资源管理局
2235,336,上海市规划和国土资源管理局公告类信息网上公开（包括项目预公告等信息）。,政府办事,公告类信息,城市建设,综合类,其他类,普遍公开,每半年,2016-06-14,2017-12-18,上海市规划和国土资源管理局
1893,320,建设用地批准文件调整、撤销审批信息。,政府办事,土地资源.国土,资源环境,土地,业务类,普遍公开,每年,2016-06-17,上海市规划和国土资源管理局
1221,217,全市城市桥梁概要信息,交通出行,城市桥梁,道路交通,市政工程,业务类,普遍公开,每年,2016-10-28,2017-12-18,上海市交通委员会
3279,491,上海市驾驶员培训企业基本信息，包括许可证号、企业名称、企业地址和企业电话等信息。,培训与就业,驾驶员培训企业,道路交通,交通运输,业务类,普遍公开,每半年,2015-10-21,2017-12-15,上海市交通委员会
2525,455,上海市道路运输行业省际客运企业基本信息，包括许可证号、企业名称、企业地址和企业电话等信息。,交通出行,省际客运企业,道路交通,交通运输,业务类,普遍公开,每半年,2015-10-22,上海市交通委员会
1239,277,上海市汽车租赁企业基本信息，包括许可证号、企业名称、企业地址和企业电话等信息。,政府办事,汽车租赁企业,道路交通,交通运输,业务类,普遍公开,每半年,2017-02-23,2017-12-15,上海市交通委员会
2679,372,上海市道路运输行业省际客运企业基本信息，包括许可证号、企业名称、企业地址和企业电话等信息。,交通出行,省际客运站,道路交通,交通运输,业务类,普遍公开,每半年,2016-11-16,上海市交通委员会
2970,491,上海市道路货运行业集装箱运输企业基本信息，包括许可证号、企业名称、企业地址和企业电话等信息。,政府办事,集装箱运输企业,道路交通,交通运输,业务类,普遍公开,每半年,2015-10-21,2017-12-15,上海市交通委员会
2325,443,上海市道路货运行业货运出租企业基本信息，包括许可证号、企业名称、企业地址和企业电话等信息。,交通出行,货运出租企业信息,道路交通,交通运输,业务类,普遍公开,每半年,2015-10-21,上海市交通委员会
2318,412,上海市道路货运行业搬场运输企业基本信息，包括许可证号、企业名称、企业地址和企业电话等信息。,社区周边生活服务,搬场运输企业,道路交通,交通运输,业务类,普遍公开,每半年,2015-10-21,2017-12-15,上海市交通委员会
2545,504,上海市道路货运行业普通货运企业基本信息，包括许可证号、企业名称、企业地址和企业电话等信息。,交通出行,普通货运企业,道路交通,交通运输,业务类,普遍公开,每半年,2015-10-21,上海市交通委员会
1309,359,主键ID、所属业户名称、线路名称、调度方式、运营时间、走向类型、站级、站名,政府办事,线路站点,道路交通,交通运输,机构职能,普遍公开,每年,2017-02-24,2017-12-14,上海市交通委员会
5605,1002,主要包括公交线路ID、线路名称、上行走向、下行走向,交通出行,线路走向,道路交通,交通运输,机构职能,普遍公开,每年,2016-11-24,上海市交通委员会
2872,457,包括线路名称、首站首班车时间、首站末班车时间、末站首班车时间、末站末班车时间,交通出行,线路,道路交通,交通运输,机构职能,普遍公开,每年,2016-11-22,2017-12-14,上海市交通委员会
1095,133,全市在册的汽车维修企业，包括许可证号、企业名称、企业地址和企业电话。,政府办事,汽修企业,道路交通,交通运输,业务类,普遍公开,每半年,2016-11-09,上海市交通委员会
2510,436,上海市道路货运行业危险品运输企业基本信息，包括许可证号、企业名称、企业地址和企业电话等信息。,政府办事,危险品运输企业,道路交通,交通运输,业务类,普遍公开,每半年,2015-10-21,2017-12-14,上海市交通委员会
8576,2124,包括全市的公交、出租、驾培、客运、货运信息的车辆总数，供市民查询,交通出行,公交、出租、驾培、客运、货运信息的车辆总数,道路交通,交通运输,业务类,普遍公开,每半年,2015-01-13,上海市交通委员会
2980,509,上海民政精神卫生中心的名称、区县、地址、邮编、联系电话、服务范围、机构性质等信息。,就医与保健,精神卫生中心,卫生健康,民政,业务类,普遍公开,每年,2014-12-31,2017-12-14,上海市民政局
4129,525,上海市规划和土地资源管理数据产品名称 ： 《建设项目选址意见书》审批,政府办事,《建设项目选址意见书》审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,上海市规划和国土资源管理局
3304,431,上海市规划和土地资源管理 数据产品名称： 核定规划条件 建设单位名称,政府办事,核定规划条件,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,2017-12-13,上海市规划和国土资源管理局
4088,837,上海市规划和土地资源管理 数据产品名称：《建设用地规划许可证》审批,政府办事、社区周边生活服务,《建设用地规划许可证》审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,上海市规划和国土资源管理局
3453,464,上海市规划和土地资源管理 数据产品名称：建设工程设计方案审批,政府办事,建设工程设计方案审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,2017-12-13,上海市规划和国土资源管理局
3354,458,上海市规划和土地资源管理 数据产品名称：《建设工程规划许可证》审批,政府办事,《建设工程规划许可证》审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,上海市规划和国土资源管理局
3113,360,上海市规划和土地资源管理 数据产品名称：《建设项目选址意见书》（市政类）审批,政府办事,《建设项目选址意见书》（市政类）审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,2017-12-13,上海市规划和国土资源管理局
3119,379,上海市规划和土地资源管理 数据产品名称：《建设工程规划设计要求》（市政类）审批,政府办事,《建设工程规划设计要求》（市政类）审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,上海市规划和国土资源管理局
3205,372,上海市规划和土地资源管理 数据产品名称：《建设工程规划设计方案》（市政类）审批,政府办事,《建设工程规划设计方案》（市政类）审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,2017-12-13,上海市规划和国土资源管理局
3095,402,上海市规划和土地资源管理 数据产品名称：《建设用地规划许可证》（市政类）审批,政府办事,《建设用地规划许可证》（市政类）审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,上海市规划和国土资源管理局
3066,360,上海市规划和土地资源管理 数据产品名称：《建设用地规划许可证（市政类临时）》审批,政府办事,《建设用地规划许可证（市政类临时）》审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,上海市规划和国土资源管理局
2668,394,上海市规划和土地资源管理 数据产品名称：《建设工程规划许可证》（市政交通）审批,政府办事,《建设工程规划许可证》（市政交通）审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,2017-12-13,上海市规划和国土资源管理局
3342,574,上海市规划和土地资源管理 数据产品名称：一书两证的延期（市政类）,政府办事,一书两证的延期（市政类）,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,上海市规划和国土资源管理局
4265,517,上海市规划和土地资源管理 数据产品名称：建筑工程开工放样复验,政府办事,建筑工程开工放样复验,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,2017-12-13,上海市规划和国土资源管理局
2560,318,上海市规划和土地资源管理 数据产品名称：《临时建设工程规划许可证》审批,政府办事,《临时建设工程规划许可证》审批,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,上海市规划和国土资源管理局
2120,385,建设项目选址意见书 主要内容：项目名称、发证编号、发证日期、建设地点、建设单位等,政府办事,建设项目选址意见书.项目名称.发证编号.发证日期.建设地点.建设单位,城市建设,城乡规划,业务类,普遍公开,每年,2012-12-20,2017-12-13,上海市规划和国土资源管理局
3132,666,建设用地规划许可证 主要内容：项目名称、发证编号、发证日期、建设地点、建设单位,政府办事,建设用地规划许可证.项目名称.发证编号.发证日期.建设地点.建设单位,城市建设,城乡规划,业务类,普遍公开,每年,2012-12-20,上海市规划和国土资源管理局
2105,473,建设工程规划许可证（建筑类） 主要内容：项目名称、发证编号、发证日期、建设地点、建设单位,政府办事,建设工程规划许可证（建筑类）.项目名称.发证编号.发证日期.建设地点.建设单位,城市建设,城乡规划,业务类,普遍公开,每年,2012-12-20,2017-12-13,上海市规划和国土资源管理局
2011,455,建设工程规划许可证（市政类） 主要内容：项目名称、发证编号、发证日期、建设地点、建设单位等,政府办事,建设工程规划许可证（市政类）.项目名称.发证编号.发证日期.建设地点.建设单位,城市建设,城乡规划,业务类,普遍公开,每年,2012-12-20,上海市规划和国土资源管理局
1954,390,建设工程设计方案 主要内容：项目名称、发证编号、发证日期、建设地点、建设单位等,政府办事,建设工程设计方案.项目名称.发证编号.发证日期.建设地点.建设单位,城市建设,城乡规划,业务类,普遍公开,每年,2012-12-20,2017-12-13,上海市规划和国土资源管理局
1838,383,建设工程设计要求 主要内容：项目名称、发证编号、发证日期、建设地点、建设单位等,政府办事,建设工程设计要求.项目名称.发证编号.发证日期.建设地点.建设单位,城市建设,城乡规划,业务类,普遍公开,每年,2012-12-20,上海市规划和国土资源管理局
4262,536,上海市规划和土地资源管理 数据产品名称：建设项目用地预审（市批）,政府办事,建设项目用地预审（市批）,城市建设,城乡规划,业务类,普遍公开,每年,2015-01-30,2017-12-13,上海市规划和国土资源管理局
3875,1601,地面沉降监测设施 主要内容：各区县地面沉降监测设施位置 上海市规划和国土资源管理局,政府办事,地面沉降监测设施.各区县地面沉降监测设施位置,城市建设,土地,业务类,普遍公开,每年,2012-12-20,2017-12-13,上海市规划和国土资源管理局
1575,216,分批次农转用征地项目信息（市批）信息。,政府办事,土地资源.国土,资源环境,土地,业务类,普遍公开,每年,2016-07-07,上海市规划和国土资源管理局
1546,270,单独选址项目信息（市批）信息。,政府办事,土地资源.国土,城市建设,土地,业务类,普遍公开,每年,2016-06-17,2017-12-13,上海市规划和国土资源管理局
1771,297,协议出让土地用地审批信息。,政府办事,土地资源.国土,城市建设,土地,业务类,普遍公开,每年,2016-06-17,上海市规划和国土资源管理局
1621,276,土地租赁用地审批信息。,政府办事,土地资源.国土,城市建设,土地,业务类,普遍公开,每年,2016-06-17,2017-12-13,上海市规划和国土资源管理局
1990,323,土地储备审批信息（包括项目名称、文号等）,政府办事,土地资源.国土,城市建设,土地,业务类,普遍公开,每年,2016-06-17,上海市规划和国土资源管理局
2349,421,招标、拍卖、挂牌用地审批信息。,政府办事,土地资源.国土,城市建设,土地,业务类,普遍公开,每年,2016-06-17,2017-12-13,上海市规划和国土资源管理局
2366,257,全市17个区县225家阳光之家，为智障残疾人提供培训、康复、简单劳动等综合服务。,社区周边生活服务,机构名称、地址、联系电话、联系人、所属区县,民生服务,综合类,其他类,普遍公开,每年,2015-09-25,上海市残疾人联合会
2428,277,全市17个区县164个阳光基地，为就业困难的残疾人提供就业援助。,社区周边生活服务,机构名称 地址 联系电话 联系人 所属区县,民生服务,综合类,其他类,普遍公开,每年,2015-09-25,2017-12-13,上海市残疾人联合会
2561,284,全市18家残疾人就业服务机构，为本市残疾人劳动就业、教育培训、社会保障、残疾人就业保障金征收管理等提供服务。,政府办事,名称 地址 联系电话 联系人 所属区县,机构团体,综合类,其他类,普遍公开,每年,2015-09-25,2017-12-13,上海市残疾人联合会
2579,290,全市市、区、街镇共237个残联机构基本信息，包括名称、地址、电话等。,政府办事,名称、地址、联系电话,机构团体,综合类,其他类,普遍公开,每年,2015-09-25,上海市残疾人联合会
2373,249,全市213家街镇”阳光心园”，为精神残疾人创造和探索多种形式的康复模式。,社区周边生活服务,名称 地址 联系电话 联系人 所属区县,民生服务,综合类,其他类,普遍公开,每年,2015-09-25,2017-12-13,上海市残疾人联合会
2412,264,全市23家康复中心，为有康复需求的残疾人提供必要的康复服务。,社区周边生活服务,名称 地址 联系电话 联系人 所属区县,民生服务,综合类,其他类,普遍公开,每年,2015-09-25,上海市残疾人联合会
2587,241,全市215家残疾人康复服务指导站，为残疾人提供宣教、咨询、转介等服务,社区周边生活服务,名称 地址 联系电话 联系人 所属区县,民生服务,综合类,其他类,普遍公开,每年,2015-09-28,2017-12-13,上海市残疾人联合会
2704,261,全市238个残疾人辅助器具服务点，为残疾人提供辅具相关服务，申请、评估。,社区周边生活服务,服务社名称 联系地址 联系人 联系电话,民生服务,综合类,其他类,普遍公开,每年,2015-09-25,上海市残疾人联合会
2472,245,上海市残疾人机动轮椅车特约维修中心（点）信息包括：6家维修中心，32家维修点。,社区周边生活服务,单位名称 地址 负责人 电话 所属区县,民生服务,综合类,其他类,普遍公开,每年,2015-09-22,2017-12-13,上海市残疾人联合会
2638,579,全市（不含区县）港口经营企业名称等信息.主要字段为许可证号、企业名称、企业地址,政府办事,全市（不含区县）港口经营企业名称,道路交通,交通运输,业务类,普遍公开,每半年,2012-11-28,上海市交通委员会
2167,271,介绍“双特”（特定就业困难人员在特定部门就业政策）涉老行业受理部门、所在区县、联系地址和联系电话,社区周边生活服务,双特.涉老行业,民生服务,民政,业务类,普遍公开,每年,2015-10-13,2017-12-12,上海市民政局
2778,666,全市国内航运企业名称等信息.主要字段为许可证号、企业名称、企业地址,政府办事,全市国内航运企业名称等信息,道路交通,交通运输,业务类,普遍公开,每半年,2012-11-28,上海市交通委员会
1925,188,汽修业户许可证号、企业名称、法人、经济类型、经营地址、经营范围、有效期等,政府办事,汽修业户许可信息,道路交通,交通运输,业务类,普遍公开,每季度,2016-10-28,2017-12-11,上海市交通委员会
1424,148,外商投资运输业许可号、企业名称、法人、经营地址、经营范围、有效期等,政府办事,外商投资运输业许可信息,道路交通,交通运输,业务类,普遍公开,每季度,2016-10-28,上海市交通委员会
1874,174,驾培业户许可证号、企业名称、法人、注册地址、经营范围、有效期等,培训与就业,驾驶员培训许可信息,道路交通,交通运输,业务类,普遍公开,每季度,2016-10-28,2017-12-11,上海市交通委员会
1713,176,货运和货运站许可号、企业名称、经营地址、经营范围、法人、经济类型等,政府办事,货运和货运站许可信息,道路交通,交通运输,业务类,普遍公开,每季度,2016-10-28,上海市交通委员会
2486,483,2014年市重大工程建设完成投资1199.1亿元，超过年度计划1.3％，占全市固定资产投资19.9%，有效拉动社会经济发展。新开工项目24个，基本建成项目21个，分别比年初计划多7个和5个，是“十二五”新开工和基本建成项目最为集中的一年。,政府办事,重大工程.重大市政设施,城市建设,城乡建设与环境保护综合类,业务类,普遍公开,每年,2015-09-30,2017-12-06,上海市住房和城乡建设管理委员会
5162,1677,房地产经纪企业基本信息.包括企业名称、证书编号、发证日期信息。,政府办事,房地产经纪企业,城市建设,房地产,业务类,普遍公开,每年,2012-12-04,上海市住房和城乡建设管理委员会
7898,3918,提供房地产开发企业基本信息，包括房地产开发企业的组织名称、资质证书编号，资质等级以及资质证书发证日期等信息。,政府办事,开发企业.资质证书,城市建设,房地产,业务类,普遍公开,每年,2012-11-21,2017-12-06,上海市住房和城乡建设管理委员会
3818,906,危险化学品经营许可证的公司信息、注册地址、业务范围、有效期、服务内容等信息,政府办事,危化品经营许可证,公共安全,综合政务类,机构职能,普遍公开,每年,2015-03-09,上海市安全生产监督管理局
3463,517,危化品生产企业许可证信息,政府办事,危化品生产许可证,公共安全,综合政务类,机构职能,普遍公开,每季度,2015-12-15,2017-12-05,上海市安全生产监督管理局
3767,509,危险化学品建设项目信息,政府办事,危险化学品建设项目,公共安全,综合政务类,机构职能,普遍公开,每半年,2015-12-15,上海市安全生产监督管理局
2508,303,介绍婚姻收养登记机关的名称、所在区县、结婚接待时间、离婚接待时间、 联系地址、语音电话等信息,婚育,婚姻,民生服务,民政,业务类,普遍公开,每半年,2015-10-13,2017-12-05,上海市民政局
2558,439,慈善救助服务社的机构名称、所属区县、地址、电话、工作时间等信息。,社区周边生活服务,慈善救助服务社,民生服务,民政,业务类,普遍公开,每半年,2014-12-29,上海市民政局
1956,240,提供经过批准的募捐活动信息的活动名称、募捐组织、活动起止时间、募捐活动地点以及合作单位等信息,政府办事,募捐,民生服务,民政,业务类,普遍公开,每半年,2015-10-13,2017-12-05,上海市民政局
2430,421,募捐组织信息（公募基金会）的名称、地址、联系电话、地址等信息,政府办事,募捐组织,机构团体,民政,业务类,普遍公开,每半年,2015-10-13,上海市民政局
4014,971,乙级安全评价机构资质的机构信息、注册地址、业务范围、有效期、服务内容等信息,政府办事,乙级安全评价机构,公共安全,综合类,机构职能,普遍公开,每年,2015-03-05,2017-12-04,上海市安全生产监督管理局
3609,846,职业卫生技术服务机构资质的机构信息、注册地址、业务范围、有效期、服务内容等信息,就医与保健,职业卫生技术服务机构,公共安全,综合政务类,机构职能,普遍公开,每年,2015-03-09,上海市安全生产监督管理局
3561,724,检测检验机构资质的机构信息、注册地址、有效期、服务内容等信息,政府办事,检测检验机构,公共安全,综合政务类,机构职能,普遍公开,每年,2015-03-09,2017-12-04,上海市安全生产监督管理局
