生猪定点屠宰厂(场)设置审查,327,11,市农业局,每月,2017-11-01, 资质认定  数据公开 ,None
种畜禽生产经营许可证信息,1201,431,市农业局,每月,2017-11-01, 资质认定  数据公开 ,None
农作物种子生产经营许可证审核、核发信息,1233,170,市农业局,每月,2017-11-01, 资质认定  数据公开 ,None
拖拉机驾驶培训许可证核发,161,21,市农业局,每月,2017-11-01, 资质认定  数据公开 ,None
饲料添加剂和预混料产品批准文号信息,433,248,市农业局,每月,2017-11-01, 资质认定  数据公开 ,None
饲料生产许可证信息,939,52,市农业局,每季度,2017-11-01, 资质认定  数据公开 ,None
进口兽药通关单开具,40,40,市农业局,每月,2017-11-01, 数据公开 ,None
执业兽医师、执业助理兽医师执业证注册,988,534,市农业局,每月,2017-11-01, 农业从业人员  数据公开 ,None
防雷装置检测资质登记信息,146,13,市气象局,每月,2017-11-01, 资质认定  数据公开 ,None
建设项目水资源论证报告书审批,952,65,市水务局,不提供,2017-11-01, 资质认定  数据公开 ,None
公众聚集场所投入使用、营业前申请消防安全检查公告,66,44,市公安消防局,每月,2017-11-01, 数据公开 ,None
机动车抽检超标排放车辆信息,235,306,市环境保护局,每月,2017-11-01, 数据公开 ,机动车抽检超标排放车辆信息
无线电频率指配,727,35,市经济和信息化局,每季度,2017-11-01, 资质认定  数据公开 ,无线电频率指配
燃气工程设计承接业务备案信息,2207,1839,市城市综合管理局,每月,2017-11-01, 资质认定  数据公开 ,此项数据是指东莞市范围内建设的燃气工程设计备案的信息
公办普通中小学校基本信息,2196,419,市教育局,每年,2017-11-01, 事业单位  数据公开  资质认定 ,关于东莞市公办普通中小学校情况的信息。
民办幼儿园基本信息,2085,548,市教育局,每年,2017-11-01, 民办非企业  数据公开  资质认定 ,关于东莞市民办幼儿园情况的信息。
民办普通中小学校基本信息,2092,500,市教育局,每年,2017-11-01, 民办非企业  数据公开  资质认定 ,关于东莞市民办普通中小学校情况的信息。
(涉企）（双公示）生产建设项目水土保持设施验收审批,90,50,市水务局,每月,2017-10-31, 数据公开 ,None
(涉企）（双公示）生产建设项目水土保持方案审批,93,50,市水务局,每月,2017-10-31, 数据公开 ,None
危险废物转移审批情况,527,1743,市环境保护局,每月,2017-10-31, 资质认定  数据公开 ,None
责令改正违法行为决定,1240,478,市环境保护局,每月,2017-10-31, 数据公开 ,None
环境监测机构及从业人员信息采集公示表,912,93,市环境保护局,每季度,2017-10-31, 资质认定  数据公开 ,None
纳税信用A级纳税人信息,2316,278,市地方税务局,每年,2017-10-31, 红榜  资质认定  数据公开 ,每两年公告一次
清洁生产审核情况,765,73,市环境保护局,每季度,2017-10-31, 资质认定  数据公开 ,None
产品质量市级监督抽查信息,89,0,市质量技术监督局,每季度,2017-10-31, 数据公开 ,市质量技术监督局每季度发布对辖区内生产的产品质量监督抽查公开信息，包括抽查企业名称、抽查产品、型号规格、检验结果等信息内容。
东莞市重大科技专项项目申报,805,329,市科学技术局(市知识产权局),每年,2017-10-31, 红榜  数据公开 ,None
国际科技合作项目申报,961,73,市科学技术局(市知识产权局),每年,2017-10-31, 资质认定  数据公开 ,None
采用国际标准和国外先进标准产品信息,838,180,市质量技术监督局,每年,2017-10-31, 红榜  数据公开 ,None
守合同重信用企业信息,35,30,市工商行政管理局,每年,2017-10-31, 数据公开 ,广东省守合同重信用企业公示活动
开发建设项目水土保持方案审批,1022,136,市水务局,每季度,2017-10-31, 资质认定  数据公开 ,None
危险货物运输车辆信息,41,60,市交通运输局,每月,2017-10-31, 数据公开 ,None
属市级审批权限的外商投资企业设立（含合同、章程）及企业变更和终止审批,77,86,市商务局,每周,2017-10-31, 数据公开 ,企业办理完相关业务时，可以提供公司名称；企业类型；批准日期等资料。
广东省东莞市名牌产品（农业类）信息,1270,263,市农业局,每年,2017-10-31, 红榜  资质认定  数据公开 ,None
新设外商投资企业外汇基本信息登记,2396,77,国家外汇管理局东莞中心支局,实时,2017-10-31, 数据公开  资质认定 ,外汇登记
注册安全主任管理,449,182,市安全生产监督管理局,每月,2017-10-31, 资质认定  数据公开 ,None
燃气供应设施许可标识信息,1569,170,市城市综合管理局,每半年,2017-10-31, 资质认定  数据公开 ,此项数据是在东莞市范围内使用燃气供应设施前，经过审批颁发许可标识的信息
计量标准考核证书,620,264,市质量技术监督局,每年,2017-10-31, 资质认定  数据公开 ,申请人向我局申请办理计量标准器具核准行政许可事项，经考核合格符合条件的，向申请人颁发计量标准考核证书。
驰名著名商标信息,33,30,市工商行政管理局,每年,2017-10-31, 数据公开 ,None
水生野生保护动物利用审批,33,200,市海洋与渔业局,每周,2017-10-30, 数据公开 ,None
建设项目用地预审审批,75,4,市国土资源局,每季度,2017-10-30, 数据公开 ,None
违法违规执业医疗机构名单(黑名单),2566,1579,市卫生和计划生育局,每月,2017-10-27, 黑榜  数据公开 ,None
粮食收购（涉及粮食收购资格许可）,1042,32,市发展和改革局,每周,2017-10-27, 资质认定  数据公开 ,None
行政许可,53,0,市国家税务局,每日,2017-10-27, 数据公开 ,None
普通高中学校设置审批,29,34,市教育局,每周,2017-10-25, 数据公开 ,None
机动车驾驶员培训机构教练车信息,65,20,市交通运输局,每月,2017-10-25, 数据公开 ,None
客运企业业户信息（省市际班车、包车）,59,11,市交通运输局,每年,2017-10-25, 数据公开 ,None
行政强制执行信息,86,20,市住房公积金管理中心,每周,2017-10-24, 数据公开 ,None
市县属技工学校审批（设立、变更、到期换证）,28,30,市人力资源局,每月,2017-10-24, 数据公开 ,None
固定资产投资项目节能审查,74,150,市发展和改革局,每周,2017-10-23, 数据公开 ,None
行政处罚信息国标,84,90,市住房公积金管理中心,每周,2017-10-23, 数据公开 ,按双公示数据国家标准提供中心行政处罚信息。
企业国税注销信息,49,0,市国家税务局,每季度,2017-10-21, 数据公开 ,None
行政处罚信息,19,0,市海事局,每日,2017-10-20, 数据公开 ,None
安全诚信公司,18,0,市海事局,每年,2017-10-20, 数据公开 ,None
内河船舶船员服务业务的服务机构备案,17,0,市海事局,每年,2017-10-20, 数据公开 ,None
船舶油料供受作业单位备案,17,0,市海事局,每年,2017-10-20, 数据公开 ,None
行政处罚,32,154,市海洋与渔业局,每周,2017-10-19, 数据公开 ,None
企业行政处罚信息,69,202,市工商行政管理局,每月,2017-10-19, 数据公开 ,None
医疗废物经营许可证核发（双公示）,37,10,市环境保护局,每年,2017-10-18, 数据公开 ,None
内地营业性演出变更核准信息,23,0,市文化广电新闻出版局,每月,2017-10-17, 数据公开 ,None
人力资源服务机构年检信息,43,10,市人力资源局,每年,2017-10-17, 数据公开 ,依据
作业场所职业病危害申报与备案信息,72,26,市安全生产监督管理局,每月,2017-10-17, 数据公开 ,None
典当企业（行政处罚）,641,78,市商务局,每年,2017-10-16, 数据公开  资质认定 ,None
劳务派遣黑名单企业信息,43,0,市人力资源局,每季度,2017-10-16, 数据公开 ,依据
水自动监测中心站周报,29,223,市环境保护局,每周,2017-10-16, 数据公开 ,None
国控企业监测信息公开,29,40,市环境保护局,每月,2017-10-16, 数据公开 ,None
投资项目核准信息,908,15,市发展和改革局,每周,2017-10-13, 资质认定  数据公开 ,None
抽查检查信息,90,10,市统计局,每日,2017-10-13, 数据公开 ,None
探矿权变更、延续、保留和注销登记信息,67,10,市国土资源局,每年,2017-10-13, 数据公开 ,None
城市建筑垃圾受纳审批信息,682,193,市城市综合管理局,每月,2017-10-13, 资质认定  数据公开 ,此项数据是指在东莞市范围内，城市建筑垃圾受纳场地的审批信息
闲置土地认定信息,77,7,市国土资源局,每周,2017-10-11, 数据公开 ,None
饮用水源水质信息,28,77,市环境保护局,每月,2017-10-11, 数据公开 ,None
环保工程专业承包单位及从业人员信息采集公示表,427,62,市环境保护局,每季度,2017-10-10, 资质认定  数据公开 ,None
环境污染治理设施运营资质单位及从业人员信息采集公示表,189,30,市环境保护局,每季度,2017-10-10, 资质认定  数据公开 ,None
未受处罚登记信息,28,50,市环境保护局,每月,2017-10-10, 数据公开 ,None
环保标志指定发放点名单及地址,670,38,市环境保护局,每季度,2017-10-09, 资质认定  数据公开 ,None
海关行政处罚信息,55,0,黄埔海关,每月,2017-10-09, 数据公开 ,None
海关良好企业,57,0,黄埔海关,每月,2017-10-09, 数据公开 ,None
入海河口水质状况,28,77,市环境保护局,每月,2017-10-09, 数据公开 ,None
查封、扣押情况,164,102,市环境保护局,每月,2017-10-09, 信用警示  数据公开 ,None
本地环保公司名录,465,107,市环境保护局,每季度,2017-10-09, 资质认定  数据公开 ,None
环境工程设计单位及从业人员信息采集公示表,493,47,市环境保护局,每季度,2017-10-09, 资质认定  数据公开 ,None
环评机构及从业人员信息采集和日常考核成绩公示表,794,97,市环境保护局,每季度,2017-10-09, 资质认定  数据公开 ,None
修建过河建筑物,32,0,东莞航道局,每日,2017-10-08, 数据公开 ,一、在通航水域修建下列设施，必须符合国家规定的通航标准和航道发展规划，建设单位和个人应征得航道部门同意后，方可办理其他报批、报建手续； （一）修建拦河闸坝、水电站； 　 （二）修建和设置码头、驳岸、护坡、船坞、滑道、涵洞、排污日。抽水站、护岸矶头、渡口、锚地、趸船； 　 （三）修建桥梁、栈桥、隧道、渡槽以及埋设或架设缆线、管道； 　 （四）修建其他拦河、临河、跨（过）河建筑物或设施。 二、（一）下列事项由管辖该通航水域的水系（区域）航道局提出初审意见报送省航道局，由省航道局审批
因工程建设确需改装、拆除或者迁移城市公共供水设施审批,1115,108,市水务局,每季度,2017-09-30, 资质认定  数据公开 ,None
由于工程施工、设备维修等原因确需停止供水的审批,1092,137,市水务局,每季度,2017-09-30, 资质认定  数据公开 ,None
卫生信誉度A级单位,41,0,市卫生和计划生育局,实时,2017-09-30, 数据公开 ,None
外籍人员子女学校信息,68,3,市教育局,每季度,2017-09-29, 数据公开 ,None
企业环境信用评价,1119,135,市环境保护局,每年,2017-09-29, 红榜  数据公开 ,None
恢复施工、使用、生产、经营检查公告,27,40,市公安消防局,每月,2017-09-29, 数据公开 ,None
工程合同备案信息,1465,776,市住房和城乡建设局,每月,2017-09-28, 资质认定  数据公开 ,工程合同备案信息
企业票据违法信息,41,3,中国人民银行东莞中心支行,每季度,2017-09-28, 数据公开 ,None
临时查封、解除临时查封公告,27,30,市公安消防局,每月,2017-09-28, 数据公开 ,None
软件产品登记信息,1748,300,市经济和信息化局,每月,2017-09-28, 资质认定  数据公开 ,软件产品认定面向在东莞注册的软件和信息服务业企业。企业按规定，准备材料报软件和信息服务业科，初审后报省软协、省经信委，通过审查后取得软件产品登记证书。软件和信息服务业科作为东莞市“双软”受理机构，负责软件产品登记和软件企业认定的初审和转报。
企业产品执行标准登记,27,0,市质量技术监督局,每半年,2017-09-28, 数据公开 ,None
邮政局（所）安全防范设施设计审核及工程验收,1351,71,市公安局,每年,2017-09-28, 资质认定  数据公开 ,None
金融机构营业场所、金库安全防范设施建设方案审批及工程验收核准,249,11,市公安局,每年,2017-09-28, 资质认定  数据公开 ,None
制造计量器具许可证,961,76,市质量技术监督局,每年,2017-09-27, 资质认定  数据公开 ,None
监控化学品用户审核,92,10,市经济和信息化局,每年,2017-09-25, 数据公开 ,None
建设项目环境保护验收,2400,537,市环境保护局,每周,2017-09-25, 资质认定  数据公开 ,None
国有建设用地划拨供地审核,48,20,市国土资源局,每月,2017-09-21, 数据公开 ,None
建设项目用地预审,701,78,市国土资源局,每季度,2017-09-21, 资质认定  数据公开 ,None
涉企-行政处罚信息,40,0,中国银行业监督管理委员会东莞监管分局,每日,2017-09-19, 数据公开 ,None
非公募基金会基本信息,35,0,市社会组织管理局,实时,2017-09-18, 数据公开 ,None
烟花爆竹经营（零售）许可证审批-行政许可变更信息,39,0,市安全生产监督管理局,每日,2017-09-18, 数据公开 ,None
双公示-行政处罚,71,21,市地方税务局,每周,2017-09-14, 数据公开 ,None
行政处罚,53,1,市国家税务局,每日,2017-09-13, 数据公开 ,None
行政处罚决定变更,27,0,市环境保护局,实时,2017-09-13, 数据公开 ,None
重点用能单位信息,432,89,市经济和信息化局,每年,2017-09-13, 资质认定  数据公开 ,重点用能单位信息
宗教活动场所登记,202,0,市民族宗教事务局,不提供,2017-09-12, 数据公开  资质认定 ,None
优秀消费维权服务站,33,0,市工商行政管理局,每年,2017-09-09, 数据公开 ,None
全国守合同重信用企业信息,29,0,市工商行政管理局,每年,2017-09-09, 数据公开 ,None
排污许可证核发变更信息（涉企）,35,20,市环境保护局,每月,2017-09-08, 数据公开 ,None
资质认定获证检验检测机构监督检查信息,38,21,市质量技术监督局,每周,2017-09-07, 数据公开 ,None
检验检测机构资质认定证书,47,20,市质量技术监督局,每周,2017-09-06, 数据公开 ,None
东莞市无公害农产品、绿色食品、有机产品、地理标志认证信息,393,151,市农业局,每年,2017-09-01, 资质认定  数据公开 ,None
水域滩涂养殖证的审核,711,55,市海洋与渔业局,每周,2017-09-01, 资质认定  数据公开 ,None
标准地址库(CGCS2000经纬度),77,13,市公安局,不提供,2017-09-01, 数据公开 ,None
中外合作开办学前教育机构基本信息,2078,125,市教育局,每年,2017-08-31, 资质认定  数据公开 ,关于东莞市中外合作开办学前教育机构情况的信息。
制造计量器具许可证获证企业监督检查信息,54,30,市质量技术监督局,每周,2017-08-28, 数据公开 ,None
（涉企）（双公示）水利工程初步设计文件审批,904,76,市水务局,每季度,2017-08-25, 资质认定  数据公开 ,None
新建、改建、扩建危险化学品生产、储存装置和设施的建设项目安全许可（包括安全条件审查、安全设施设计审查）,895,102,市安全生产监督管理局,每周,2017-08-25, 资质认定  数据公开 ,None
维修、销毁国家秘密载体定点单位乙级资质认定,214,0,市国家保密局,每周,2017-08-24, 资质认定  数据公开 ,None
城市建筑垃圾准运审批信息,1443,661,市城市综合管理局,每月,2017-08-23, 资质认定  数据公开 ,此项数据是指在东莞市范围内，用轻型自卸货车（载重量在1.5吨的货车）和重型自卸货车（载重量在10-12吨的货车）运输余泥渣土准运的审批信息（城市建筑垃圾处置核准
环保局企业诚信“红黑榜”,1595,159,市环境保护局,每年,2017-08-22, 黑榜  数据公开 ,None
环保局企业诚信“红黑榜”（黑榜）（涉企）,28,10,市环境保护局,每年,2017-08-22, 数据公开 ,None
变更营业性文艺表演团体营业许可信息,28,11,市文化广电新闻出版局,每月,2017-08-22, 数据公开 ,None
公办（集体办）幼儿园年度检查未被评为“合格”信息,4006,97,市教育局,每年,2017-08-19, 事业单位  数据公开 ,公办（集体办）幼儿园年度检查未被评为“合格”信息
变更艺术品经营单位备案信息,28,11,市文化广电新闻出版局,每月,2017-08-16, 数据公开 ,None
森林资源信息,1182,173,市林业局,每年,2017-08-10, 数据公开  资质认定 ,None
市管医疗机构信息,81,2,市卫生和计划生育局,每季度,2017-08-10, 数据公开 ,市管医疗机构信息
承印加工境外一般性出版物印件（含进口印件所需的原、辅材料）的审批,984,664,市文化广电新闻出版局,每月,2017-08-10, 资质认定  数据公开 ,None
行政许可信息,73,0,东莞出入境检验检疫局,实时,2017-08-09, 数据公开 ,None
企业荣誉信息,2088,88,市国家税务局,每年,2017-08-09, 红榜  数据公开 ,None
应急预案备案信息,319,21,市安全生产监督管理局,每月,2017-08-09, 数据公开  资质认定 ,None
涉企-被执行人案件基本信息,64,12,市中级人民法院,每周,2017-08-08, 数据公开 ,企业名称、注册号、统一社会信用代码、案号、法定代表人（经营者）、被申请执行时间、执行标的、执行到位情况、有无被列失信
社会科技发展项目申报,1510,163,市科学技术局(市知识产权局),每年,2017-08-05, 资质认定  数据公开 ,None
危险化学品重大危险源备案,27,10,市安全生产监督管理局,每日,2017-08-04, 数据公开 ,None
行政处罚信息,1141,89,市统计局,实时,2017-08-04, 数据公开 ,None
行政许可变更信息,27,10,市农业局,每日,2017-08-04, 数据公开 ,None
东莞市创新型企业培育认定信息,1243,162,市科学技术局(市知识产权局),每年,2017-08-04, 资质认定  数据公开 ,东莞市创新型企业培育认定信息
食品经营许可,78,8,市食品药品监督管理局,每季度,2017-08-04, 数据公开 ,None
国家级高新技术企业,1144,433,市科学技术局(市知识产权局),每年,2017-08-04, 企业  红榜  数据公开 ,国家高新技术企业
药品经营许可（零售）,86,10,市食品药品监督管理局,每季度,2017-08-04, 数据公开 ,药品经营许可（零售）公示
东莞市配套国家省科技（专利）计划项目申报,1440,79,市科学技术局(市知识产权局),每年,2017-08-02, 资质认定  数据公开 ,None
特种行业许可证信息,72,11,市公安局,每月,2017-08-01, 数据公开 ,旅馆业、刻章业、典当业
殡葬服务单位信息,57,10,市民政局,每年,2017-08-01, 数据公开 ,None
机动车驾驶员培训机构信息,430,98,市交通运输局,每年,2017-08-01, 资质认定  数据公开 ,None
《企业知识产权管理规范》认证信息,28,12,市科学技术局(市知识产权局),每年,2017-08-01, 数据公开 ,None
东莞市专利优势企业信息,28,11,市科学技术局(市知识产权局),每年,2017-08-01, 数据公开 ,None
假肢和矫形器（辅助器具）生产装配企业信息,35,10,市民政局,每年,2017-08-01, 数据公开 ,None
东莞市专利奖励信息,31,11,市科学技术局(市知识产权局),每年,2017-08-01, 数据公开 ,None
空气化工产品无人值守“现场供气”安全生产备案,27,10,市安全生产监督管理局,每日,2017-07-31, 数据公开 ,None
专利代理机构管理信息,656,166,市科学技术局(市知识产权局),每年,2017-07-31, 资质认定  数据公开 ,None
档案中介机构备案信息,47,10,市档案局（市档案馆）,每月,2017-07-31, 数据公开 ,None
被科技部门列入严重失信企业名单的企业,28,1,市科学技术局(市知识产权局),实时,2017-07-28, 数据公开 ,None
快递业务经营许可信息,42,10,市邮政管理局,每日,2017-07-28, 数据公开 ,None
快递业务经营许可变更信息,48,10,市邮政管理局,每日,2017-07-28, 数据公开 ,None
行政处罚信息,45,10,市人民防空办公室,每年,2017-07-28, 数据公开 ,None
抽查检查信息,72,10,东莞出入境检验检疫局,每日,2017-07-27, 数据公开 ,None
报检企业备案登记信息,1119,246,东莞出入境检验检疫局,每月,2017-07-27, 资质认定  数据公开 ,None
东莞市科技计划项目验收信息,28,0,市科学技术局(市知识产权局),每季度,2017-07-27, 数据公开 ,None
机构文化市场行政处罚信息,556,230,市文化市场综合执法大队,每月,2017-07-27, 数据公开 ,None
闲置、关闭或拆除（水、大气、工业固体废物、噪声）污染防治设施审批,1693,422,市环境保护局,每季度,2017-07-27, 资质认定  数据公开 ,None
中国出口质量安全示范企业,27,10,东莞出入境检验检疫局,每日,2017-07-26, 数据公开 ,None
中标项目信息,36,10,市公共资源交易中心,每日,2017-07-26, 数据公开 ,None
旅游企业抽查检查信息,49,0,市旅游局,实时,2017-07-26, 数据公开 ,None
特种设备监督抽查信息,27,10,市质量技术监督局,每年,2017-07-26, 数据公开 ,None
电梯维保质量监督抽查信息,27,10,市质量技术监督局,每年,2017-07-26, 数据公开 ,None
分支机构备案登记信息,44,10,市邮政管理局,每日,2017-07-25, 数据公开 ,None
1-0_双公示_行政处罚,74,0,市住房和城乡建设局,一次性,2017-07-25, 数据公开 ,None
食盐批发许可证审批,969,24,市盐务局,每半年,2017-07-21, 资质认定  数据公开 ,食盐批发由省级盐业主管机构核发食盐批发许可证后方可经营。
开发盐资源（利用海水制盐、开采岩盐和矿井盐）,1151,30,市盐务局,每半年,2017-07-21, 资质认定  数据公开 ,开发盐资源（利用海水制盐、开采岩盐和矿井盐）必须经省级经济贸易管理部门审查同意，报省、自治区、直辖市人民政府批准、并领取《采矿许可证》后，方可开发。
涉企信息--行政许可信息,76,20,市盐务局,每月,2017-07-21, 数据公开 ,None
危险货物运输业户信息,896,213,市交通运输局,每月,2017-07-19, 数据公开  资质认定 ,None
旅游个人处罚信息,1122,12,市旅游局,实时,2017-07-19, 数据公开 ,None
旅游机构处罚信息,48,0,市旅游局,实时,2017-07-19, 数据公开 ,None
机械行业企业,28,0,市安全生产监督管理局,不提供,2017-07-19, 数据公开 ,None
纺织行业企业,29,1,市安全生产监督管理局,不提供,2017-07-19, 数据公开 ,None
轻工行业企业,27,0,市安全生产监督管理局,不提供,2017-07-19, 数据公开 ,None
建材行业企业,27,0,市安全生产监督管理局,不提供,2017-07-19, 数据公开 ,None
烟草行业企业,27,0,市安全生产监督管理局,不提供,2017-07-19, 数据公开 ,None
冶金行业企业,27,0,市安全生产监督管理局,不提供,2017-07-19, 数据公开 ,None
有色行业企业,27,0,市安全生产监督管理局,不提供,2017-07-19, 数据公开 ,None
河道管理范围内工程建设方案审批,42,0,市水务局,每半年,2017-07-12, 数据公开 ,None
广东省污染物排放许可证信息,1544,1732,市环境保护局,每月,2017-07-12, 资质认定  数据公开 ,None
行政处罚信息,76,20,市财政局,每周,2017-07-07, 数据公开 ,None
建设工程竣工验收消防备案抽查复查公告,27,40,市公安消防局,每月,2017-07-07, 数据公开 ,None
建设工程消防设计备案复查公告,27,50,市公安消防局,每月,2017-07-07, 数据公开 ,None
责令限期改正复查公告,27,30,市公安消防局,每月,2017-07-07, 数据公开 ,None
火灾事故认定复核公告,27,30,市公安消防局,每月,2017-07-07, 数据公开 ,None
积分入学_国税纳税税额信息,29,0,市国家税务局,不提供,2017-07-05, 数据公开 ,None
烟花爆竹经营（零售）许可证,844,177,市安全生产监督管理局,每周,2017-07-04, 资质认定  数据公开 ,None
机构或个人荣誉信息,2365,38,市农业局,每半年,2017-07-03, 红榜  数据公开 ,None
食品生产许可,940,121,市食品药品监督管理局,每季度,2017-06-30, 资质认定  数据公开 ,食品生产企业许可证照信息
药品零售企业经营质量管理规范(GSP)认证,35,4,市食品药品监督管理局,每季度,2017-06-30, 数据公开 ,药品零售企业经营质量管理规范(GSP)认证
未依法向城乡规划主管部门报送有关竣工验收资料,58,20,市城乡规划局,每日,2017-06-29, 数据公开 ,None
申请法院强制执行信息记录,1038,779,市住房公积金管理中心,每月,2017-06-29, 信用警示  黑榜  数据公开 ,用于存放申请法院强制执行信息的记录。
科技中介机构信息,1585,108,市科学技术局(市知识产权局),每年,2017-06-29, 资质认定  数据公开 ,None
东莞市科学技术奖励信息,28,33,市科学技术局(市知识产权局),每年,2017-06-29, 数据公开 ,科技进步奖信息
（涉企）行政许可审批变更信息,27,10,市水务局,每周,2017-06-16, 数据公开 ,20170603根据涉企信息报送工作要求制备本表。
固体废物污染防治公报,27,10,市环境保护局,每年,2017-06-09, 数据公开 ,None
（涉企）（双公示）机构处罚信息（东莞市水务局建设管理科）,758,7,市水务局,每季度,2017-06-02, 资质认定  数据公开 ,None
华侨回国定居审批,32,0,市外事侨务局（港澳事务局）,实时,2017-05-26, 数据公开 ,None
采矿权新立、延续、变更、注销登记发证信息,670,150,市国土资源局,每年,2017-05-18, 资质认定  数据公开 ,None
承印加工境外包装装潢、其他印刷品的备案,956,606,市文化广电新闻出版局,每月,2017-05-18, 资质认定  数据公开 ,None
公证员信息,1036,71,市司法局,每周,2017-05-15, 公证员  数据公开 ,公证员信息
基层法律服务工作者执业信息,985,71,市司法局,每周,2017-05-15, 数据公开 ,基层法律服务公众者执业信息工作
基层法律服务所信息,956,97,市司法局,每年,2017-05-15, 事业单位  资质认定  数据公开 ,基层法律服务所信息
行政许可权责清单,38,0,市机构编制委员会办公室,不提供,2017-05-10, 数据公开 ,None
行政处罚权责清单,38,0,市机构编制委员会办公室,一次性,2017-05-10, 数据公开 ,None
城市园林绿化企业三级资质信息,1067,80,市城市综合管理局,每半年,2017-05-09, 资质认定  数据公开 ,此项数据只攘括企业注册地为东莞的审批信息。
城市园林绿化企业二级资质信息,596,29,市城市综合管理局,每半年,2017-05-09, 资质认定  数据公开 ,此项数据只攘括企业注册地为东莞的审批信息。
个人处罚信息,958,2,市水务局,每季度,2017-05-08, 资质认定  数据公开 ,None
加工贸易项下光盘进出口审批,27,150,市文化广电新闻出版局,每月,2017-05-05, 数据公开 ,None
丁级测绘资质核准及乙、丙级资质初审,210,105,市国土资源局,每月,2017-05-05, 资质认定  数据公开 ,丁级测绘资质核准及乙、丙级资质初审
公证机构信息,965,114,市司法局,每年,2017-05-04, 资质认定  数据公开 ,公证机构信息
电影放映单位设立、变更业务范围或者兼并、合并、分立审批,29,11,市文化广电新闻出版局,每月,2017-05-04, 数据公开 ,None
1-5_双公示_商品房预售款使用核准,28,0,市住房和城乡建设局,一次性,2017-05-04, 数据公开 ,None
第三类医疗器械经营许可,29,1,市食品药品监督管理局,每季度,2017-05-03, 数据公开 ,第三类医疗器械经营许可（双公示）
特种人员操作证,259,10,市安全生产监督管理局,每月,2017-05-03, 特种作业人员  数据公开 ,None
渔业船舶船员证书核发,27,30,市海洋与渔业局,每周,2017-05-03, 数据公开 ,None
建筑工程施工许可证（供热类）核准信息,473,140,市城市综合管理局,每年,2017-05-03, 数据公开  资质认定 ,此项数据是指在东莞市范围内建设的供热工程经主管部门审批通过后，颁发施工许可证的信息
涉企信息--行政处罚信息,73,10,市盐务局,每月,2017-05-03, 数据公开 ,None
行政处罚信息,64,0,市民族宗教事务局,一次性,2017-05-03, 数据公开 ,None
特殊药品零售、邮寄、运输和购用审批,28,0,市食品药品监督管理局,每季度,2017-05-02, 数据公开 ,None
广告经营登记信息,27,10,市工商行政管理局,每月,2017-05-02, 数据公开 ,None
市属职业技能鉴定所（站）设立审批,25,20,市人力资源局,每月,2017-05-02, 数据公开 ,None
行政处罚信息,27,0,市食品药品监督管理局,每季度,2017-05-02, 数据公开 ,行政处罚
集体宗教活动临时地点认可,180,0,市民族宗教事务局,不提供,2017-05-02, 数据公开  资质认定 ,None
筹备设立宗教活动处所（寺观教堂）审批,45,0,市民族宗教事务局,不提供,2017-05-02, 数据公开 ,None
信息网络传播视听节目审核,28,33,市文化广电新闻出版局,每月,2017-05-02, 数据公开 ,None
电影放映经营许可证信息,493,35,市文化广电新闻出版局,每月,2017-05-02, 资质认定  数据公开 ,电影放映单位《电影放映经营许可证》的信息
事业单位法人注销登记,1363,46,市机构编制委员会办公室,每周,2017-04-28, 事业单位  数据公开 ,None
省级重点监控企业名单,29,12,市环境保护局,每年,2017-04-26, 数据公开 ,None
学前教育机构设立、变更、终止审批（民办）,29,130,市教育局,每周,2017-04-25, 数据公开 ,None
可作为原料的固体废物进口审批结果,220,273,市环境保护局,每月,2017-04-20, 资质认定  数据公开 ,None
改变绿化规划、绿化用地的使用性质审批信息,857,47,市城市综合管理局,每半年,2017-04-12, 资质认定  数据公开 ,此项数据只攘括市城管局直管项目和市区范围内的审批信息
强制性清洁生产审核企业名单,416,87,市环境保护局,每年,2017-04-07, 信用警示  资质认定  数据公开 ,None
个人文化市场行政处罚信息,1367,363,市文化市场综合执法大队,每月,2017-04-06, 数据公开 ,None
行政处罚,43,10,市房产管理局,每年,2017-04-06, 数据公开 ,None
行政许可公示信息-港、澳、台地区会计师事务所对市、县工商机关登记企业临时办理审计业务审批,84,10,市财政局,每周,2017-04-05, 数据公开 ,None
排污费征收的项目、依据、标准和程序,27,0,市环境保护局,每半年,2017-04-01, 数据公开 ,None
挂牌督办,27,10,市环境保护局,每月,2017-04-01, 数据公开 ,None
环境应急,28,11,市环境保护局,每年,2017-04-01, 数据公开 ,None
重点污染源基本信息,28,22,市环境保护局,每年,2017-04-01, 数据公开 ,None
行政处罚执行情况,212,34,市环境保护局,每月,2017-04-01, 数据公开 ,None
拒不执行处罚决定企业名单,388,37,市环境保护局,每半年,2017-04-01, 信用警示  黑榜  数据公开 ,None
报刊记者站基本信息,1421,172,市文化广电新闻出版局,每月,2017-03-31, 新闻记者  资质认定  数据公开 ,None
新闻记者基本信息,553,61,市文化广电新闻出版局,每月,2017-03-23, 新闻记者  数据公开 ,None
非宗教内容的连续性内部资料性出版物准印证核发（中央、省属单位除外）,27,30,市文化广电新闻出版局,每月,2017-03-22, 数据公开 ,None
海域使用权的审核、审批,27,20,市海洋与渔业局,每周,2017-03-21, 数据公开 ,None
广播电视节目制作经营审核,1446,342,市文化广电新闻出版局,每月,2017-03-20, 数据公开  资质认定 ,None
